frame,id,x1,y1,x2,y2,cls,conf
750,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
750,3,297.133056640625,221.251708984375,479.623046875,514.4638061523438,56,1.0
750,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
750,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
780,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
780,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
780,3,357.72186279296875,229.45794677734375,479.56573486328125,539.6185913085938,56,1.0
780,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
780,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
810,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
810,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
810,3,357.72186279296875,229.45794677734375,479.56573486328125,539.6185913085938,56,1.0
810,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
810,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
840,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
840,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
840,3,384.9964599609375,243.6463623046875,479.5693359375,523.8704833984375,56,1.0
840,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
840,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
870,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
870,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
870,3,295.818603515625,215.70314025878906,479.5908203125,506.77783203125,56,1.0
870,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
870,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
900,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
900,2,17.41607666015625,215.6697235107422,208.01431274414062,476.65386962890625,56,1.0
900,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
900,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
900,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
930,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
930,2,145.095703125,214.5270233154297,325.34197998046875,485.87322998046875,56,1.0
930,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
930,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
930,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
960,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
960,2,42.472503662109375,233.3267059326172,224.13140869140625,500.46368408203125,56,1.0
960,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
960,4,231.345947265625,96.11178588867188,405.6209716796875,204.13555908203125,68,1.0
960,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
990,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
