frame,id,x1,y1,x2,y2,cls,conf
0,1,407.0999450683594,284.4442138671875,479.7392272949219,455.0037841796875,56,1.0
1,1,406.2151184082031,285.44091796875,479.7327575683594,455.6185302734375,56,1.0
2,1,405.6846923828125,285.62255859375,479.73101806640625,455.9442138671875,56,1.0
3,1,403.59552001953125,285.6647644042969,479.73187255859375,456.0878601074219,56,1.0
4,1,402.7327880859375,285.1103820800781,479.7264404296875,456.2930603027344,56,1.0
5,1,399.0228576660156,178.81715393066406,479.7100524902344,455.5177001953125,56,1.0
6,1,397.60809326171875,179.0781707763672,479.71429443359375,455.55194091796875,56,1.0
7,1,399.06207275390625,286.1378173828125,479.74371337890625,455.90313720703125,56,1.0
8,1,397.634765625,286.25799560546875,479.75079345703125,456.49993896484375,56,1.0
9,1,396.4372253417969,286.08538818359375,479.7519836425781,456.74468994140625,56,1.0
10,1,396.319091796875,284.6526794433594,479.752197265625,457.0738830566406,56,1.0
11,1,395.7635192871094,285.6716003417969,479.7554016113281,457.4610900878906,56,1.0
12,1,395.34698486328125,286.33380126953125,479.77410888671875,457.0130615234375,56,1.0
13,1,396.1448669433594,285.91790771484375,479.7566833496094,457.90887451171875,56,1.0
14,1,395.74072265625,286.330322265625,479.767822265625,457.7567138671875,56,1.0
15,1,396.8612365722656,287.86712646484375,479.7737731933594,457.98748779296875,56,1.0
16,1,399.21209716796875,287.68328857421875,479.75360107421875,458.83087158203125,56,1.0
17,1,398.5405578613281,290.50787353515625,479.7736511230469,458.88531494140625,56,1.0
18,1,399.0855712890625,291.8883056640625,479.77294921875,460.23638916015625,56,1.0
19,1,397.51153564453125,292.532470703125,479.76861572265625,460.8873291015625,56,1.0
20,1,399.9031677246094,293.53912353515625,479.7709655761719,461.61651611328125,56,1.0
21,1,399.18304443359375,294.0562744140625,479.7740478515625,461.83447265625,56,1.0
22,1,399.8660888671875,294.35498046875,479.77197265625,462.40032958984375,56,1.0
23,1,400.3189697265625,294.26055908203125,479.77264404296875,462.35650634765625,56,1.0
